"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","135,500","138,000","138,500","134,500","538.44K","-1.81%"
"Apr 25, 2019","138,000","138,500","139,000","136,500","550.76K","-0.36%"
"Apr 24, 2019","138,500","139,000","140,000","136,000","1.33M","1.84%"
"Apr 23, 2019","136,000","134,000","137,000","133,000","480.16K","1.49%"
"Apr 22, 2019","134,000","133,000","134,500","132,000","231.07K","0.00%"
"Apr 19, 2019","134,000","135,000","135,500","133,000","335.42K","0.00%"
"Apr 18, 2019","134,000","133,500","137,000","132,500","1.46M","2.29%"
"Apr 17, 2019","131,000","128,500","131,000","127,500","535.57K","1.95%"
"Apr 16, 2019","128,500","126,500","130,500","125,500","733.53K","2.39%"
"Apr 15, 2019","125,500","126,000","127,000","125,000","222.55K","-0.79%"
"Apr 12, 2019","126,500","127,000","128,000","125,500","286.48K","-1.17%"
"Apr 11, 2019","128,000","127,500","128,000","125,500","548.77K","0.39%"
"Apr 10, 2019","127,500","126,500","128,500","126,500","349.26K","0.39%"
"Apr 09, 2019","127,000","125,500","128,000","125,500","274.93K","-0.78%"
"Apr 08, 2019","128,000","126,500","128,500","125,500","455.08K","1.59%"
"Apr 05, 2019","126,000","124,500","126,500","124,000","468.52K","2.02%"
"Apr 04, 2019","123,500","123,000","125,000","122,500","464.56K","-0.40%"
"Apr 03, 2019","124,000","118,500","124,000","118,000","651.23K","4.20%"
"Apr 02, 2019","119,000","119,500","120,000","117,500","374.13K","-1.24%"
"Apr 01, 2019","120,500","120,000","121,000","119,000","264.65K","0.84%"
"Mar 29, 2019","119,500","120,000","122,000","119,000","432.84K","0.00%"
"Mar 28, 2019","119,500","118,500","120,000","118,000","303.40K","0.84%"
"Mar 27, 2019","118,500","118,500","119,500","118,000","236.18K","0.00%"
"Mar 26, 2019","118,500","120,000","121,000","118,500","462.91K","-1.25%"
"Mar 25, 2019","120,000","121,000","122,000","119,000","414.10K","-2.83%"
"Mar 22, 2019","123,500","124,000","125,500","121,500","485.68K","-0.80%"
"Mar 21, 2019","124,500","124,000","126,000","122,500","321.36K","0.40%"
"Mar 20, 2019","124,000","123,000","124,000","121,000","316.07K","0.00%"
"Mar 19, 2019","124,000","124,000","125,000","123,000","303.88K","0.00%"
"Mar 18, 2019","124,000","122,000","124,000","121,500","383.26K","2.48%"
"Mar 15, 2019","121,000","119,000","122,000","118,000","739.47K","1.68%"
"Mar 14, 2019","119,000","124,000","124,000","117,000","1.32M","-2.86%"
"Mar 13, 2019","122,500","126,000","126,000","120,500","797.48K","-2.39%"
"Mar 12, 2019","125,500","121,500","125,500","121,500","616.23K","3.72%"
"Mar 11, 2019","121,000","121,000","121,500","119,000","281.39K","0.83%"
"Mar 08, 2019","120,000","125,000","125,000","120,000","467.05K","-4.38%"
"Mar 07, 2019","125,500","126,500","129,000","123,000","791.37K","0.80%"
"Mar 06, 2019","124,500","122,500","126,500","121,500","599.12K","2.47%"
"Mar 05, 2019","121,500","121,500","122,000","119,500","428.58K","-0.41%"
"Mar 04, 2019","122,000","125,000","126,000","121,000","916.71K","-3.56%"
"Feb 28, 2019","126,500","127,500","129,000","126,000","945.59K","-1.94%"
"Feb 27, 2019","129,000","128,000","130,000","126,000","1.23M","5.31%"
