Date,K200,K200F,Value,Basis
15:46:00,281.34,281.75,282.04,0.41
15:35:00,281.34,281.9,282.04,0.56
15:34:00,281.34,281.85,282.04,0.51
15:33:00,281.34,281.9,282.04,0.56
15:32:00,281.34,281.9,282.04,0.56
15:31:00,281.34,281.8,282.04,0.46
15:30:00,281.36,281.8,282.06,0.44
15:29:00,281.36,281.7,282.06,0.34
15:28:00,281.36,281.7,282.06,0.34
15:27:00,281.36,281.75,282.06,0.39
15:26:00,281.36,281.8,282.06,0.44
15:25:00,281.36,281.75,282.06,0.39
15:24:00,281.36,281.75,282.06,0.39
15:23:00,281.36,281.85,282.06,0.49
15:22:00,281.36,281.9,282.06,0.54
15:21:00,281.36,281.85,282.06,0.49
15:20:00,281.31,281.8,282.01,0.49
15:19:00,281.24,281.75,281.94,0.51
15:18:00,281.15,281.75,281.93,0.52
15:17:00,281.28,281.75,281.98,0.47
15:16:00,281.13,281.75,281.86,0.59
15:15:00,281.09,281.7,281.79,0.61
15:14:00,281.13,281.6,281.83,0.47
15:13:00,281,281.6,281.7,0.6
15:12:00,280.95,281.55,281.65,0.6
15:11:00,280.92,281.55,281.62,0.63
15:10:00,280.93,281.6,281.55,0.75
15:09:00,280.88,281.6,281.58,0.72
15:08:00,281,281.6,281.8,0.5
15:07:00,281.11,281.75,281.95,0.5
15:06:00,281.13,281.8,281.79,0.71
15:05:00,281.25,281.9,281.95,0.65
15:04:00,281.14,281.8,281.84,0.66
15:03:00,281.1,281.85,281.8,0.75
15:02:00,281.28,281.95,281.98,0.67
15:01:00,281.14,281.95,281.84,0.81
15:00:00,281.2,281.7,281.9,0.5
14:59:00,281.09,281.7,281.79,0.61
14:58:00,281.12,281.65,281.82,0.53
14:57:00,281.33,281.85,281.85,0.7
14:56:00,281.42,281.9,281.97,0.63
14:55:00,281.27,281.9,281.97,0.63
14:54:00,281.16,281.85,281.86,0.69
14:53:00,281.41,281.75,282.04,0.41
14:52:00,281.41,281.95,282.11,0.54
14:51:00,281.68,282.3,282.2,0.8
14:50:00,281.69,282.3,282.34,0.66
14:49:00,281.52,282.25,282.27,0.68
14:48:00,281.61,282.2,282.26,0.64
14:47:00,281.5,282.2,282.2,0.7
14:46:00,281.61,282.1,282.14,0.66
14:45:00,281.63,282.25,282.25,0.7
14:44:00,281.56,282.2,282.18,0.72
14:43:00,281.58,282.2,282.08,0.82
14:42:00,281.47,282.25,282.19,0.76
14:41:00,281.42,282.25,282.12,0.83
14:40:00,281.62,282.2,282.15,0.75
14:39:00,281.61,282.15,282.31,0.54
14:38:00,281.77,282.25,282.4,0.55
14:37:00,281.58,282.3,282.28,0.72
14:36:00,281.62,282.45,282.32,0.83
14:35:00,281.53,282.35,282.37,0.68
14:34:00,281.72,282.4,282.42,0.68
14:33:00,281.67,282.25,282.2,0.75
14:32:00,281.42,282.35,282.2,0.85
14:31:00,281.63,282.3,282.33,0.67
14:30:00,281.78,282.45,282.48,0.67
14:29:00,281.82,282.45,282.5,0.65
14:28:00,281.58,282.45,282.36,0.79
14:27:00,281.52,282.3,282.25,0.75
14:26:00,281.35,282.2,282.05,0.85
14:25:00,281.56,282.25,282.26,0.69
14:24:00,281.3,282.25,282,0.95
14:23:00,281.28,282.15,282.07,0.78
14:22:00,281.23,282.2,281.93,0.97
14:21:00,281.1,281.85,281.8,0.75
14:20:00,281.04,281.7,281.74,0.66
14:19:00,281.05,281.75,281.58,0.87
14:18:00,280.8,281.8,281.57,0.93
14:17:00,280.75,281.7,281.45,0.95
14:16:00,280.69,281.55,281.39,0.86
